Linux 2.6.32-358.2.1.el6.x86_64 (n020303) 	2013-05-30 	_x86_64_	(24 CPU)

00:00:01          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
03:10:01       dev9-1      0,84      0,36      6,62      8,34      0,00      0,00      0,00      0,00
03:10:01       dev9-3    148,52   4398,87  10895,00    102,97      0,00      0,00      0,00      0,00
03:10:01       dev9-2      0,21      1,65      0,00      8,00      0,00      0,00      0,00      0,00
03:20:01      dev8-16     35,25   1610,89   5404,01    199,01      0,25      7,00      2,14      7,53
03:20:01       dev8-0     35,13   1610,97   5402,29    199,67      0,23      6,53      2,14      7,50
03:20:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
03:20:01       dev9-1      0,65      0,00      5,23      8,00      0,00      0,00      0,00      0,00
03:20:01       dev9-3    136,19   3221,75  10792,40    102,90      0,00      0,00      0,00      0,00
03:20:01       dev9-2      0,01      0,11      0,00      8,00      0,00      0,00      0,00      0,00
03:30:01      dev8-16     33,56   1864,89   5444,75    217,82      0,23      6,77      2,33      7,81
03:30:01       dev8-0     33,77   1866,20   5444,19    216,47      0,21      6,17      2,27      7,66
03:30:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
03:30:01       dev9-1      1,05      3,20      6,93      9,61      0,00      0,00      0,00      0,00
03:30:01       dev9-3    138,61   3727,89  10871,32    105,33      0,00      0,00      0,00      0,00
03:30:01       dev9-2      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
03:40:01      dev8-16     33,95   1915,32   5407,38    215,70      0,22      6,40      2,30      7,81
03:40:01       dev8-0     34,01   1917,67   5405,43    215,30      0,20      5,90      2,28      7,77
03:40:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
03:40:01       dev9-1      0,80      0,00      6,39      8,00      0,00      0,00      0,00      0,00
03:40:01       dev9-3    139,27   3832,69  10795,74    105,04      0,00      0,00      0,00      0,00
03:40:01       dev9-2      0,02      0,19      0,00      8,00      0,00      0,00      0,00      0,00
03:50:01      dev8-16     34,92   2027,80   5395,44    212,60      0,24      6,98      2,25      7,86
03:50:01       dev8-0     35,36   2027,92   5398,36    210,01      0,23      6,37      2,22      7,86
03:50:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
03:50:01       dev9-1      0,68      0,26      5,38      8,26      0,00      0,00      0,00      0,00
03:50:01       dev9-3    141,72   4055,34  10779,36    104,68      0,00      0,00      0,00      0,00
03:50:01       dev9-2      0,02      0,12      0,00      8,00      0,00      0,00      0,00      0,00
04:00:01      dev8-16     33,33   1885,19   5423,94    219,28      0,20      6,10      2,35      7,85
04:00:01       dev8-0     32,88   1885,87   5421,16    222,23      0,19      5,75      2,32      7,62
04:00:01       dev9-0      0,00      0,00      0,00      0,00      0,00      0,00      0,00      0,00
04:00:01       dev9-1      0,68      0,00      5,43      8,00      0,00      0,00      0,00      0,00
04:00:01       dev9-3    138,47   3771,02  10830,27    105,44      0,00      0,00      0,00      0,00
04:00:01       dev9-2      0,01      0,04      0,00      8,00      0,00      0,00      0,00      0,00
04:10:01      dev8-16     34,76   1706,58   5446,87    205,79      0,24      6,84      2,25      7,84
